DATAFLOW,LAST UPDATE,freq,unit,category,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,CY,2001,3.4,
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,CY,2002,2.6,
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,CY,2003,3.9,
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,CY,2004,3.4,
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,CY,2005,5.0,b
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,CY,2006,4.8,
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,CY,2007,3.8,
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,CY,2008,3.0,
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,CY,2009,4.8,b
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,CY,2010,6.0,
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,CY,2011,6.9,b
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,CY,2012,10.5,
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,CY,2013,13.4,
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,CY,2014,13.1,b
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,CY,2015,12.9,
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,CY,2016,10.9,
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,CY,2017,10.0,
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,CY,2018,7.5,
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,CY,2019,7.0,
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,CY,2020,6.5,
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,CY,2021,6.5,b
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,CZ,1998,0.7,b
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,CZ,1999,1.1,
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,CZ,2000,1.2,
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,CZ,2001,1.0,
ESTAT:HRST_ST_NUNESEX(1.0),27/04/22 23:00:00,A,RT_UNE,HRSTU,F,CZ,2002,0.6,
